Gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01010,869.3730596,0.239554171,0.078644795,3.046027029,0.00231887,0.009921616
AT1G01020,491.7348616,-0.05208167,0.097938545,-0.531779083,0.594879011,0.758618948
AT1G01030,24.62567036,-0.128549336,0.406278063,-0.316407278,0.751693393,0.864985004
AT1G01040,1013.38666,0.002389604,0.079352248,0.030113883,0.975976228,0.988921131
AT1G01050,2818.534542,5.37E-05,0.047700945,0.001125519,0.999101966,0.999558634
AT1G01060,47.18559648,0.482320291,0.306330362,1.574510237,0.115369537,0.249408833
AT1G01070,567.110458,0.08597751,0.09144345,0.940226012,0.347101642,0.543762752
AT1G01080,151.4440972,-0.125494815,0.166586236,-0.753332435,0.451250173,0.643609457
AT1G01090,7226.810395,0.125474436,0.041252945,3.041587337,0.002353343,0.010051893
AT1G01100,10081.16671,0.05909428,0.038906535,1.518877985,0.128793212,0.271351151
AT1G01110,338.5253426,-0.216813801,0.112667184,-1.924374023,0.054307718,0.138794848
AT1G01120,1938.063457,-0.073516804,0.059240035,-1.240998647,0.214606249,0.393432803
AT1G01130,28.85639474,0.421487336,0.36718604,1.147884968,0.251016054,0.439383514
AT1G01140,99.68731381,0.406282189,0.19908576,2.04073957,0.04127672,0.112033886
AT1G01150,2.693795906,-0.311708364,1.178621261,-0.264468642,0.791418825,NA
AT1G01160,981.0811377,-0.226580792,0.071756791,-3.157621586,0.001590619,0.0071309
AT1G01170,112.5851759,-0.899083544,0.189111664,-4.754246909,1.99E-06,1.73E-05
AT1G01180,286.0350699,-0.444506556,0.130525048,-3.405526844,0.000660365,0.003291597
AT1G01190,78.88680889,-0.269305531,0.226269009,-1.190200692,0.233967521,0.417523838
AT1G01200,267.1044209,0.627012851,0.124595134,5.032402392,4.84E-07,4.69E-06
AT1G01210,481.4888575,0.146930071,0.092722194,1.584626773,0.113051158,0.245439572
AT1G01220,871.8955021,-0.018530792,0.072760132,-0.254683315,0.798967704,0.894336892
AT1G01225,204.3742925,-0.101424213,0.136889721,-0.740919131,0.458742475,0.649013889
AT1G01230,1003.919757,-0.075102534,0.068766227,-1.092142718,0.274770376,0.467078219
AT1G01240,305.5841896,-1.561027845,0.123517673,-12.63809308,1.30E-36,1.03E-34
AT1G01260,642.2161346,0.265540301,0.081352333,3.264077261,0.001098212,0.005133749
AT1G01290,446.9276306,0.106078552,0.095123245,1.115169608,0.264777747,0.455421177
AT1G01300,3166.273063,0.292565895,0.048353367,6.050579542,1.44E-09,2.06E-08
AT1G01310,4.153939079,-0.785519264,0.970995776,-0.808983193,0.418524814,0.614770264
AT1G01320,588.0634457,-0.342704378,0.092301293,-3.712888158,0.000204907,0.001154722
AT1G01340,591.2239499,-0.458270593,0.09010478,-5.085974275,3.66E-07,3.60E-06
AT1G01350,630.6508601,0.048675018,0.087394141,0.556959736,0.577554939,0.745310764
AT1G01355,2.338923061,-1.336258571,1.431762006,-0.933296572,0.350666865,NA
AT1G01360,510.4175659,-0.353837177,0.091762987,-3.855990187,0.000115262,0.000687613
AT1G01370,245.0173595,0.112049908,0.127781573,0.87688628,0.380548409,0.578212952
AT1G01380,82.82551115,1.024538413,0.224011002,4.57360757,4.79E-06,3.86E-05
AT1G01390,0.956721686,0.159463857,1.927143678,0.082746221,0.934053332,NA
AT1G01420,140.4399424,0.312447999,0.164694879,1.897132447,0.05781046,0.14585593
AT1G01430,794.3841142,-0.018950821,0.076401445,-0.248042709,0.804101362,0.897504796
AT1G01440,583.9320928,-0.120887213,0.092287923,-1.309892,0.190232374,0.361091673
AT1G01448,375.5262302,-0.49349029,0.107629106,-4.585100689,4.54E-06,3.67E-05
AT1G01450,1.273870763,-2.535319913,2.054902459,-1.23379088,0.217280839,NA
AT1G01453,128.5195104,0.851394899,0.179168483,4.751923352,2.01E-06,1.74E-05
AT1G01460,0.733956173,1.625654289,2.564493469,0.633908531,0.526140518,NA
AT1G01470,2907.070878,0.737450372,0.051935601,14.19932309,9.25E-46,1.01E-43
AT1G01480,81.29158774,0.319126298,0.220265382,1.448826393,0.147386071,0.299702817
AT1G01490,1214.275061,-0.041764823,0.065352314,-0.639071828,0.522776206,0.703529455
AT1G01500,297.8819134,0.266517317,0.117396133,2.270239312,0.023193067,0.070109555
AT1G01510,1279.762043,0.049895157,0.061713348,0.808498624,0.418803598,0.61494262
AT1G01520,8.544846557,0.344473635,0.659623841,0.522227387,0.60151202,0.764094161
AT1G01540,1475.271065,-0.013661513,0.059411014,-0.229949165,0.818131271,0.905164753
AT1G01550,4746.336528,0.026320659,0.041274948,0.637690901,0.52367491,0.704021578
AT1G01560,9.939159245,-0.730701648,0.624808836,-1.169480337,0.242210159,0.428207754
AT1G01570,68.46950697,-0.09229477,0.250754779,-0.368067839,0.712822651,0.838917079
AT1G01580,6205.01763,0.338732349,0.118178957,2.866266181,0.004153449,0.016393536
AT1G01590,0.310218725,-1.72828658,3.738677474,-0.462272178,0.643886148,NA
AT1G01600,213.1522684,0.885213593,0.137854845,6.421345523,1.35E-10,2.18E-09
AT1G01610,2343.666136,0.260360729,0.057028137,4.565478411,4.98E-06,3.99E-05
AT1G01620,7649.807934,-0.876912331,0.110450083,-7.939444731,2.03E-15,5.24E-14
AT1G01630,1971.889669,0.049903453,0.059290723,0.841673888,0.399970518,0.596887054
AT1G01640,218.4339497,-0.535177475,0.134862323,-3.968324617,7.24E-05,0.000455773
AT1G01650,1234.511138,0.026072661,0.069576934,0.374731385,0.707860248,0.835323192
AT1G01660,165.7429912,0.110589276,0.161872634,0.683186978,0.4944887,0.680677769
AT1G01670,41.93079108,-0.294718153,0.299294501,-0.984709548,0.324766762,0.521581378
AT1G01680,1.392425125,-0.741069183,1.754160457,-0.422463738,0.672686564,NA
AT1G01690,300.3189025,0.192757358,0.11801468,1.63333373,0.102398826,0.22796245
AT1G01695,5.711240362,-0.280187619,0.809890518,-0.345957401,0.729374729,0.849840202
AT1G01700,17.93057565,-0.420839469,0.463952153,-0.907075149,0.364367058,0.561919795
AT1G01710,1005.723562,-0.044688238,0.069080314,-0.646902642,0.517694956,0.699314836
AT1G01715,177.9240161,-0.198505486,0.146067844,-1.358995111,0.174148138,0.337858813
AT1G01720,2126.333099,-0.104404162,0.058670445,-1.779501802,0.07515753,0.179501972
AT1G01725,115.616936,-0.32453433,0.184433431,-1.759628546,0.078470808,0.185833141
AT1G01730,1330.760867,-0.083751461,0.063602362,-1.31679796,0.187906357,0.357918428
AT1G01740,166.0529462,-0.067550206,0.154477194,-0.437282713,0.66190633,0.805686951
AT1G01750,1531.244439,0.154997249,0.077048538,2.011683188,0.044253344,0.118293632
AT1G01760,151.152516,-0.205749234,0.158918592,-1.294683214,0.195429533,0.368051384
AT1G01770,359.6421981,-0.694091056,0.107659452,-6.447098159,1.14E-10,1.86E-09
AT1G01780,665.0486082,0.079267069,0.088211835,0.898599026,0.368866278,0.566026079
AT1G01790,738.4773377,-0.124379982,0.082632728,-1.505214529,0.132268931,0.276940843
AT1G01800,2104.06607,-0.101283387,0.058687276,-1.725815101,0.084380682,0.196650807
AT1G01810,10.78573014,0.077313827,0.629697917,0.122779232,0.90228192,0.952299063
AT1G01820,1352.911242,-0.408022849,0.062289726,-6.550403695,5.74E-11,9.62E-10
AT1G01830,400.6012099,-0.03058361,0.106008057,-0.288502697,0.772961966,0.878783901
