"","Control_1","Control_2","Control_3","Sucrose_1","Sucrose_2","Sucrose_3"
"AT1G01010",9.68220966285075,9.57227721200981,9.66298194193514,9.74637846134435,9.92124677209931,9.95741089767694
"AT1G01020",8.92782162236472,9.10333449924559,8.85985498226137,8.9490454586218,8.95057085157925,8.84481907130058
"AT1G01030",4.18635463596358,5.14424769251164,4.54596420643942,4.6460589273879,4.24139632346055,4.74795753204799
"AT1G01040",9.9445778506903,10.10942439871,9.88910878723648,9.86396395773204,10.0102770977035,10.0752190712384
"AT1G01050",11.5020702939858,11.4470669644513,11.4331283972039,11.4640157945761,11.4676817472109,11.4494244449928
"AT1G01060",4.64578625460088,5.56874552103955,5.49151642241704,5.67708582300853,5.57843131073812,6.0591592203423
"AT1G01070",9.24705056765113,9.01526125179157,9.0437421367262,9.15316410757783,9.19803995426617,9.21223855034669
"AT1G01080",7.38602698079994,7.08614473794808,7.42043332435556,7.02938756693941,7.21263733047913,7.27847224874677
"AT1G01090",12.7675552178885,12.7054853844399,12.7905482768086,12.920563691694,12.8653740476762,12.8549323699437
"AT1G01100",13.3069165324065,13.2311521071861,13.269719943388,13.3658197399368,13.3222839613855,13.2967080994242
"AT1G01110",8.39580800159253,8.48128267978922,8.6302804923729,8.35131566182677,8.24613424246721,8.27847224874677
"AT1G01120",10.9091621671331,10.9488882298722,11.0096399404662,10.8089974985141,10.86460399426,10.9717804889909
"AT1G01130",4.0932452315721,4.85051648945493,4.79107670427595,5.12249697133089,5.12275182696193,4.89996062549304
"AT1G01140",6.5262046388482,6.23617018195268,6.49151642241704,6.7372068154461,6.97074873351688,6.76125435466145
"AT1G01150",2.18635463596358,0.896320179068059,1.37603920499711,1.12249697133089,1.99346881001697,-0.00692997011547457
"AT1G01160",10.0334119820549,10.0409784218999,10.0648723034902,9.92339687125119,9.76165313479389,9.77278938502793
"AT1G01170",7.33610175546826,7.07622926908299,7.16611613562288,6.23102142810906,6.36850824136389,6.27847224874677
"AT1G01180",8.54829840969882,8.12032185326616,8.39840701802556,7.96798702227526,7.93010674901954,7.85725617453881
"AT1G01190",6.29487909274175,6.33926367491679,6.62396671844069,6.38928351202579,6.01583662304542,6.0591592203423
"AT1G01200",7.74094348764122,7.80321077467658,7.59197660419626,8.39395999923526,8.35102081463505,8.27384080001513
"AT1G01210",8.79368494971319,8.86210446373015,8.84906842703513,9.02336377931164,8.93010674901954,8.99588504549158
"AT1G01220",9.76189388279811,9.83589939338275,9.73212431061653,9.74637846134435,9.79275043153889,9.73622142399702
"AT1G01225",7.71773609647989,7.74181023001243,7.71588920788173,7.55712519896761,7.67996933720018,7.62969465042817
"AT1G01230",10.0097218760098,10.0435251040103,9.97098579429089,9.98668311598517,9.91233204729156,9.89996062549304
"AT1G01240",8.84456611871537,8.76668489865146,8.88910878723648,7.27224409083557,7.14321592952165,7.39394946616671
"AT1G01260",9.16363455946349,9.2023818684964,9.1962181674123,9.49100343283858,9.44879603032153,9.42143020258882
"AT1G01290",8.72938645621882,8.79416563507357,8.72476735922819,8.84701082445084,8.85455571601236,8.8665141423999
"AT1G01300",11.5003713398649,11.4120200173521,11.510465525218,11.7771329998589,11.7866656690779,11.7379038673841
"AT1G01310",2.77131713668473,2.48128267978922,1.79107670427595,0.122496971330889,2.31539690490433,1.57803253060568
"AT1G01320",9.46944298898758,9.37407844551195,9.23402020012468,8.9648473147447,9.10981277125443,8.97034995338444
"AT1G01340",9.33863947827016,9.48877721633614,9.42407190141891,8.84017339439728,9.04603686082112,8.98742346674338
"AT1G01350",9.21977763750103,9.2023818684964,9.39470304926214,9.38224023502167,9.2695932152912,9.32398690799914
"AT1G01355",0.186354635963579,1.89632017906806,2.37603920499711,0,1.99346881001697,0
"AT1G01360",9.09624771973362,9.20920313435241,9.17478099675001,8.84701082445084,8.74166165960643,8.83542037329833
"AT1G01370",7.8798415934629,7.79718698704881,7.95598363095164,8.02336377931164,8.04331735946753,7.90595936611449
"AT1G01380",5.50828273085094,5.91868799209651,5.83547082363441,6.91691283768099,6.85144980514454,6.60777987399973
"AT1G01390",0,-0.103679820931941,0.791076704275952,0.122496971330889,-0.00653118998303494,-0.00692997011547457
"AT1G01420",6.94124213812705,6.95160261456925,7.01024522473811,7.37042448477447,7.20292217564591,7.26919443515876
"AT1G01430",9.67419466978663,9.58457048820124,9.66912761700449,9.65582670363672,9.65880472720214,9.5553124541056
"AT1G01440",9.32846169326613,9.10333449924559,9.30480430022839,9.21260939099518,9.06493117257359,9.10159448666269
"AT1G01448",8.71773609647989,8.78201655240745,8.82999569356826,8.40789919019314,8.17834415292525,8.2645330577889
"AT1G01450",2.50828273085094,0,-0.208923295724048,0.122496971330889,0,0
"AT1G01453",6.61261939066568,6.46617578739901,6.47757723145917,7.35131566182677,7.20292217564591,7.53222884099256
"AT1G01460",0.186354635963579,0,0,1.70745947205205,0,0
"AT1G01470",11.1636345594635,10.9996079874801,11.1039596595603,11.8371717986389,11.8204144604324,11.8235852368614
"AT1G01480",6.23074875532203,6.27135961041498,6.01989539477183,6.49753640267781,6.66589415198846,6.29685077806163
"AT1G01490",10.2591571705078,10.2339420810606,10.3057907584144,10.1804886940901,10.2983904795986,10.1927423747209
"AT1G01500",8.04433563109115,7.99960798748008,8.18339412705471,8.40789919019314,8.32438568813158,8.30595298516888
