 Gene ID,Gene Name,DesignElementAccession,wt_A_sucrose,wt_B_sucrose,wt_C_sucrose,wt_72h_MS_1,wt_72h_MS_2,wt_72h_MS_3,'sucrose; 1 percent' vs 'none' in 'wild type'.p-value,'sucrose; 1 percent' vs 'none' in 'wild type'.t-statistic,'sucrose; 1 percent' vs 'none' in 'wild type'.log2foldchange
AT1G01010,NAC001,261585_at,5.729373586,5.800445394,5.704966158,5.470747684,5.227620807,5.687037964,0.104967673,2.058381944,0.3
AT1G01030,NGA3,261568_at,4.551684096,4.892991804,4.520057621,4.338297433,4.554741973,4.390248652,NA,1.649679563,0.2
AT1G01040,DCL1,261584_at,6.981538716,6.968274872,6.899591376,7.408466268,6.586674074,6.4977911,0.655570611,0.523692097,0.1
AT1G01050,PPA1,261579_at,10.60528961,10.49371091,10.30714164,10.03668544,10.23839569,10.33730547,NA,2.004376352,0.3
AT1G01060,LHY,261569_at,6.405044255,6.075643949,5.810239465,6.857227973,5.878874706,4.974243435,0.689634665,0.469764541,0.2
AT1G01070,,261576_at,6.294722464,6.587030775,6.607382435,5.647649064,5.33642053,5.020865309,0.001568474,6.599796135,1.2
AT1G01080,,261577_at,9.169613197,9.261933317,9.140112311,8.159446155,8.657220938,8.568744354,0.005189469,4.904597916,0.7
AT1G01090,PDH-E1 ALPHA,261583_at,11.66876573,11.53326436,11.67701402,11.92416986,11.57309532,11.57167406,NA,-0.475949527,-0.1
AT1G01100,RPP1A,261578_at,11.77007957,11.84267553,11.78857612,11.70001897,11.94813132,11.84164388,NA,-0.262357518,0
AT1G01110,IQD18,261580_at,5.486499455,5.634920789,5.480353128,6.20287612,5.742418049,5.734353671,0.070568692,-2.37416568,-0.4
AT1G01120,KCS1,261570_at,10.2007267,10.23156606,10.18156889,10.60559909,9.429489938,9.319708476,0.251749233,1.374584264,0.4
AT1G01130,,261575_at,4.753644801,4.802172486,4.963555423,4.675644144,5.028145255,4.704198125,NA,0.2758142,0
AT1G01140,CIPK9,261581_at,8.734451205,8.920003437,8.514150398,9.152367128,8.358351572,8.721660838,0.930968265,-0.10310396,0
AT1G01150,,261571_at,2.948064768,2.826636995,2.865376601,2.936604034,2.889555855,3.034975619,NA,-0.690326231,-0.1
AT1G01160,GIF2,261582_at,7.670225769,7.718412911,7.616142362,8.356528963,7.540739035,7.975449054,0.216796251,-1.492222737,-0.3
AT1G01170,,261572_at,9.562449991,9.683214036,9.508408777,10.08796564,10.49494949,10.22457278,0.00455535,-5.073304572,-0.7
AT1G01190,CYP78A8,261574_at,5.840311873,5.883484158,5.439588842,5.285006156,5.679991569,5.805283652,0.530446739,0.735284874,0.1
AT1G01200,RABA3,261042_at,5.068132187,4.92364112,5.016252022,4.901287485,4.365851012,4.480474659,0.045559315,2.725513271,0.4
AT1G01220,FKGP,261043_at,7.987965818,7.843498161,7.8886161,7.106667866,7.196448635,7.674369097,0.017116999,3.601386476,0.6
AT1G01225,,261025_at,6.555631595,6.651802488,6.46061638,5.736189662,6.079043608,5.970509046,0.00519736,4.901062693,0.6
AT1G01230,,261057_at,8.608120839,8.497406199,8.741209575,9.062699467,9.12182187,8.980828553,0.013463917,-3.836756659,-0.4
AT1G01240,,261026_at,7.459993071,7.035493882,7.69766423,9.796126459,9.285279191,9.255216066,0.000381099,-9.825504493,-2
AT1G01250,ERF023,261059_at,4.771396534,4.68688458,4.723685853,5.42269736,5.001612028,5.258005032,0.014354483,-3.776964749,-0.5
AT1G01260,BHLH13,261050_at,6.788747931,6.845786473,7.00639314,7.162156896,7.094581586,7.317316221,NA,-2.620877883,-0.3
AT1G01280,CYP703A2,261051_at,3.084912341,3.05444688,3.22948097,3.158228823,3.27663946,3.092458817,NA,-0.46839327,-0.1
AT1G01290,CNX3,261044_at,6.985958333,7.023825638,6.873792049,7.507931227,7.124739093,6.992288102,0.179104487,-1.643578566,-0.2
AT1G01300,APF2,261055_at,9.924715261,10.09470751,10.13051103,8.898586999,9.270193527,8.863977768,0.001043824,7.319611927,1
AT1G01310,,261045_at,3.400456226,3.279028453,3.335825379,3.392714878,3.608018029,3.310010443,NA,-0.822260247,-0.1
AT1G01320,,261053_at,10.66056916,10.95523902,10.78703708,8.69260478,9.396507844,9.631956595,0.001376618,6.805720005,1.6
AT1G01340,CNGC10,261027_at,4.671926245,4.939197412,4.718868735,5.136184402,4.731226045,5.605019051,0.145760196,-1.804662445,-0.4
AT1G01360,PYL9,261056_at,7.706017845,7.708502377,7.420926675,7.830205055,7.394661076,7.638834081,NA,-0.063283063,0
AT1G01370,HTR12,261058_at,5.133109688,5.325303827,5.381729841,5.066756853,5.524111293,5.476467706,NA,-0.499327398,-0.1
